Date,Time,ID,Lat,Lon,Alt,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
27/10/2017,16:13:51,ONEPLUS A3003_28_171012,32.103,35.208,650,DIRECT-35-HP DeskJet 3830 series,yaron,6,-30,tslila,c4:3d:c7:5a:79:1c,11,-89,Lubelsky,fgjfg,-10,-88,NGOGA,30:b5:c2:fe:aa:56,6,-87,osnatg370,c0:ac:54:f5:7b:a7,11,-86,BezeqFree,6a:12:f5:f9:5e:71,8,-85,Robert1,3c:1e:04:03:7f:17,1,-82,Howmanyistwo,74:da:38:50:77:f2,2,-81,OP2,a0:63:91:69:f6:af,1,-80,,,,
27/10/2017,16:13:53,ONEPLUS A3003_28_171012,32.105,35.205,660,BezeqFree,6a:12:f5:f9:5e:71,8,-79,tslila,yaron,11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:15:07,sample1,32.12,35.4,680,hilda,mac1,11,-91,HUAWEI-C7FB,yaron,1,-10,DIRECT-35-HP DeskJet 3830 series,mac3,6,-83,Robert1,mac2,1,-77,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:15:37,sample2,32.16881033,34.81237006,35,Partner,mac1,0,-113,Fuck Off Yourself,16:ae:db:c1:ae:55,9,-91,HOTBOX-D1D7,mac3,1,-88,May,another,1,-86,DIRECT-A5-HP DeskJet 4670 series,mac4,10,-79,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:15:52,sample3,32.16874461,34.8109685,26,Partner,mac1,0,-113,OP2,a0:63:91:69:f6:af,1,-91,Fuck Off Yourself,another,9,-91,LRWN,mac2,36,-91,HOTBOX-D1D7,mac4,1,-88,Shaul1,mac6,11,-87,Lubelsky,c0:4a:00:ba:e8:f6,13,-86,May,14:cc:20:eb:cb:c6,1,-86,osnatg370,c0:ac:54:f5:7b:a7,11,-85,NGOGA,30:b5:c2:fe:aa:56,6,-85
27/10/2017,16:16:07,sample4,32.16828882,34.81039765,26,Levy,mac1,10,-88,simon,e4:6f:13:73:0a:c2,8,-86,Oberyn Martell,mac3,8,-84,BARON WIFI 2.4,mac2,11,-84,Rina,mac4,6,-83,GUYFI,mac6,3,-83,,,,,,,,,,,,,,,,
27/10/2017,16:16:09,sample5,32.16808141,34.81029707,27,RS_GUEST,mac1,13,-89,888Free,06:8d:db:6e:71:13,1,-88,888Corp,mac3,1,-83,kessel_2,mac2,5,-81,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:16:29,ONEPLUS A3003_28_171012,32.16746622,34.80976155,13,Partner,42501_13111_496642,0,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:16:37,ONEPLUS A3003_28_171012,32.16754658,34.80978436,-1,,06:8d:db:6e:71:be,11,-94,MOULY MAISON,00:78:9e:fa:15:91,1,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,16:16:41,ONEPLUS A3003_28_171012,32.1675522,34.80978999,1,,06:8d:db:6e:71:be,11,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
